deviceId,data,time,locationStatus,latitude,longitude,mobileStatus,netType,RSRP,RSRQ,SNR,RSSI,downlink,uplink,roaming,downstreamBandwidth,upstreamBandwidth,earfcn,band,frequency,ci,pci,tag,networkOperator,chipOperator,mcc,mnc,bluetoothStatus
3d4c6129617d84c4,11/03/2023,17.32.04,1,-3.126.382,-58.431.983,1,4G,-94,-14,6.0,-59,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.05,1,-3.126.267,-58.431.952,1,4G,-94,-14,6.0,-59,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.08,1,-3.126.149,-58.431.935,1,4G,-94,-14,6.0,-59,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.27,1,-3.126.085,-58.432.031,1,4G,-95,-16,6.0,-57,49,10,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.29,1,-3.126.051,-58.432.127,1,4G,-95,-16,6.0,-57,47,744,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.31,1,-3.126.004,-58.432.238,1,4G,-95,-16,6.0,-57,8,11,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.33,1,-3.125.959,-58.432.379,1,4G,-95,-16,6.0,-57,7,4,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.35,1,-3.125.895,-58.432.523,1,4G,-91,-14,6.0,-53,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.37,1,-3.125.836,-58.432.697,1,4G,-91,-14,6.0,-53,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.38,1,-3.125.802,-58.432.787,1,4G,-91,-14,6.0,-53,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.39,1,-3.125.768,-58.432.882,1,4G,-91,-14,6.0,-53,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.40,1,-3.125.728,-58.432.972,1,4G,-91,-14,6.0,-53,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.41,1,-3.125.692,-58.433.066,1,4G,-91,-14,6.0,-53,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.43,1,-3.125.621,-58.433.239,1,4G,-91,-14,6.0,-53,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.45,1,-3.125.554,-58.433.408,1,4G,-106,-18,6.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.46,1,-3.125.521,-58.433.496,1,4G,-106,-18,6.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.47,1,-3.125.488,-58.433.594,1,4G,-106,-18,6.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.48,1,-3.125.442,-58.433.689,1,4G,-106,-18,6.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.49,1,-3.125.412,-58.433.785,1,4G,-106,-18,6.0,-67,0,1,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.50,1,-3.125.374,-58.433.878,1,4G,-106,-18,6.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.51,1,-3.125.339,-5.843.397,1,4G,-106,-18,6.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.52,1,-3.125.304,-58.434.066,1,4G,-106,-18,6.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.54,1,-3.125.238,-58.434.242,1,4G,-106,-18,6.0,-67,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.54,1,-3.125.238,-58.434.242,1,4G,-101,-20,6.0,-61,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.55,1,-3.125.184,-58.434.332,1,4G,-101,-20,6.0,-61,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.56,1,-3.125.142,-58.434.418,1,4G,-101,-20,6.0,-61,0,1,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.57,1,-3.125.102,-58.434.503,1,4G,-101,-20,6.0,-61,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.33.25,1,-3.123.697,-58.435.111,1,4G,-90,-14,-1.0,-55,11,7,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.33.27,1,-3.123.542,-58.435.057,1,4G,-90,-14,-1.0,-55,50,98,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.33.29,1,-3.123.389,-58.435.004,1,4G,-90,-14,-1.0,-55,28,1,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.33.31,1,-3.123.232,-58.434.945,1,4G,-90,-14,-1.0,-55,1,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.33.32,1,-3.123.145,-58.434.917,1,4G,-90,-14,-1.0,-55,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
